,num,idx,cwnd,cwnd_order,ssthresh,send_time,latency,rtt,loss_rate,overall_loss_rate,inter_send,min_inter_send,ewma_inter_send,ts_inter_send_1,ts_inter_send_2,ts_inter_send_3,ts_inter_send_4,ts_inter_send_5,ts_inter_send_6,ts_inter_send_7,ts_inter_send_8,ratio_inter_send,ts_ratio_inter_send_1,ts_ratio_inter_send_2,ts_ratio_inter_send_3,ts_ratio_inter_send_4,ts_ratio_inter_send_5,ts_ratio_inter_send_6,ts_ratio_inter_send_7,ts_ratio_inter_send_8,inter_arr,min_inter_arr,ewma_inter_arr,ts_inter_arr_1,ts_inter_arr_2,ts_inter_arr_3,ts_inter_arr_4,ts_inter_arr_5,ts_inter_arr_6,ts_inter_arr_7,ts_inter_arr_8,ratio_inter_arr,ts_ratio_inter_arr_1,ts_ratio_inter_arr_2,ts_ratio_inter_arr_3,ts_ratio_inter_arr_4,ts_ratio_inter_arr_5,ts_ratio_inter_arr_6,ts_ratio_inter_arr_7,ts_ratio_inter_arr_8,rtt,min_rtt,ewma_rtt,ts_rtt_1,ts_rtt_2,ts_rtt_3,ts_rtt_4,ts_rtt_5,ts_rtt_6,ts_rtt_7,ts_rtt_8,ratio_rtt,ts_ratio_rtt_1,ts_ratio_rtt_2,ts_ratio_rtt_3,ts_ratio_rtt_4,ts_ratio_rtt_5,ts_ratio_rtt_6,ts_ratio_rtt_7,ts_ratio_rtt_8,throughput,reward,recvd
10,11.0,3195.0,11.0,10.0,64.0,0.3666360378265381,4.8160552978515625e-05,0.00037217140197753906,0.0,0.0,0.0003581047058105469,0.0003581047058105469,0.0012594115300292976,-0.00044345855712890625,-0.0005249977111816406,-0.0005276203155517578,-0.0005757808685302734,-0.0005877017974853516,-0.0005638599395751953,-0.0005767345428466797,-0.0005996227264404297,1.0,0.0,0.0,0.0,0.0,0.0,0.06443298969072164,0.029639175257731853,0.0,0.00036025047302246094,0.00036025047302246094,0.0005620325286865236,-0.0009059906005859375,-0.0009849071502685547,-0.0009851455688476562,-0.0010340213775634766,-0.0010478496551513672,-0.0010218620300292969,-0.0010361671447753906,-0.0010557174682617188,1.0,0.0,0.0,0.0,0.0,0.0,0.07059585492227982,0.03173575129533668,0.0,0.00037217140197753906,0.00037217140197753906,0.0003721714019775391,-0.0004477500915527344,-0.0005309581756591797,-0.0005328655242919922,-0.0005810260772705078,-0.0005948543548583984,-0.0005707740783691406,-0.0005848407745361328,-0.0006055831909179688,1.0,0.0,0.0,0.0,0.0,0.0,0.06288916562889169,0.026151930261519407,0.0,10.0,0.0,1.0
11,12.0,8388.0,12.0,11.0,64.0,0.3669860363006592,4.00543212890625e-05,0.0005199909210205078,0.0,0.0,0.00034999847412109375,0.00034999847412109375,0.001077528918847657,-8.153915405273438e-05,-8.416175842285156e-05,-0.0001323223114013672,-0.0001442432403564453,-0.00012040138244628906,-0.00013327598571777344,-0.00015616416931152344,-0.00016427040100097656,1.0,0.0,0.0,0.0,0.0,0.06443298969072164,0.029639175257731853,0.0,0.0,0.0005059242248535156,0.00036025047302246094,0.000550810867919922,-7.891654968261719e-05,-7.915496826171875e-05,-0.00012803077697753906,-0.0001418590545654297,-0.00011587142944335938,-0.00013017654418945312,-0.00014972686767578125,-4.0531158447265625e-06,1.4043679682329584,0.0,0.0,0.0,0.0,0.07059585492227982,0.03173575129533668,0.0,0.4043679682329584,0.0005199909210205078,0.00037217140197753906,0.0005199909210205078,-8.320808410644531e-05,-8.511543273925781e-05,-0.00013327598571777344,-0.00014710426330566406,-0.00012302398681640625,-0.00013709068298339844,-0.00015783309936523438,-1.0013580322265625e-05,1.3971812940422805,0.0,0.0,0.0,0.0,0.06288916562889169,0.026151930261519407,0.0,0.39718129404228053,11.0,0.0,1.0
12,13.0,7153.0,13.0,12.0,64.0,0.3717620372772217,0.004625082015991211,0.004875898361206055,0.0,0.0,0.0047760009765625,0.00034999847412109375,0.0018172233303906256,-2.6226043701171875e-06,-5.078315734863281e-05,-6.270408630371094e-05,-3.886222839355469e-05,-5.173683166503906e-05,-7.462501525878906e-05,-8.273124694824219e-05,0.004343271255493164,13.645776566757494,0.0,0.0,0.0,0.06443298969072164,0.029639175257731853,0.0,0.0,12.645776566757494,0.004705905914306641,0.00036025047302246094,0.0013818298771972658,-2.384185791015625e-07,-4.9114227294921875e-05,-6.29425048828125e-05,-3.695487976074219e-05,-5.125999450683594e-05,-7.081031799316406e-05,7.486343383789062e-05,0.004274845123291016,13.062872270019854,0.0,0.0,0.0,0.07059585492227982,0.03173575129533668,0.0,0.4043679682329584,12.062872270019854,0.004875898361206055,0.00037217140197753906,0.004875898361206055,-1.9073486328125e-06,-5.0067901611328125e-05,-6.389617919921875e-05,-3.981590270996094e-05,-5.3882598876953125e-05,-7.462501525878906e-05,7.319450378417969e-05,0.0044291019439697266,13.101217168481742,0.0,0.0,0.0,0.06288916562889169,0.026151930261519407,0.0,0.39718129404228053,12.101217168481742,12.0,0.0,1.0
13,14.0,7189.0,14.0,13.0,64.0,0.3757669925689697,0.003844022750854492,0.004137992858886719,0.0,0.0,0.004004955291748047,0.00034999847412109375,0.00225476972266211,-4.8160552978515625e-05,-6.008148193359375e-05,-3.62396240234375e-05,-4.9114227294921875e-05,-7.200241088867188e-05,-8.0108642578125e-05,0.004345893859863281,0.003574848175048828,11.442779291553133,0.0,0.0,0.06443298969072164,0.029639175257731853,0.0,0.0,12.645776566757494,10.442779291553133,0.004038095474243164,0.00036025047302246094,0.0019130829966064453,-4.887580871582031e-05,-6.270408630371094e-05,-3.6716461181640625e-05,-5.1021575927734375e-05,-7.05718994140625e-05,7.510185241699219e-05,0.004275083541870117,0.0036072731018066406,11.209133024487095,0.0,0.0,0.07059585492227982,0.03173575129533668,0.0,0.4043679682329584,12.062872270019854,10.209133024487095,0.004137992858886719,0.00037217140197753906,0.004137992858886719,-4.8160552978515625e-05,-6.198883056640625e-05,-3.790855407714844e-05,-5.1975250244140625e-05,-7.271766662597656e-05,7.510185241699219e-05,0.004431009292602539,0.003693103790283203,11.118513773222293,0.0,0.0,0.06288916562889169,0.026151930261519407,0.0,0.39718129404228053,12.101217168481742,10.118513773222293,13.0,0.0,1.0
14,15.0,1592.0,15.0,14.0,64.0,0.3798038959503174,0.0038869380950927734,0.004129171371459961,0.0,0.0,0.004036903381347656,0.00034999847412109375,0.0026111964543992193,-1.1920928955078125e-05,1.1920928955078125e-05,-9.5367431640625e-07,-2.384185791015625e-05,-3.1948089599609375e-05,0.004394054412841797,0.0036230087280273438,0.003654956817626953,11.534059945504087,0.0,0.06443298969072164,0.029639175257731853,0.0,0.0,12.645776566757494,10.442779291553133,10.534059945504087,0.003996133804321289,0.00036025047302246094,0.0023296931581494144,-1.3828277587890625e-05,1.2159347534179688e-05,-2.1457672119140625e-06,-2.1696090698242188e-05,0.0001239776611328125,0.0043239593505859375,0.003656148910522461,0.003614187240600586,11.092653871608206,0.0,0.07059585492227982,0.03173575129533668,0.0,0.4043679682329584,12.062872270019854,10.209133024487095,10.092653871608206,0.004129171371459961,0.00037217140197753906,0.004129171371459961,-1.3828277587890625e-05,1.0251998901367188e-05,-3.814697265625e-06,-2.4557113647460938e-05,0.0001232624053955078,0.004479169845581055,0.0037412643432617188,0.003732442855834961,11.094811018577834,0.0,0.06288916562889169,0.026151930261519407,0.0,0.39718129404228053,12.101217168481742,10.118513773222293,10.094811018577834,14.0,0.0,1.0
15,16.0,1895.0,16.0,15.0,64.0,0.3837740421295166,0.0038001537322998047,0.00895833969116211,0.0,0.0,0.003970146179199219,0.00034999847412109375,0.002882986399359219,2.384185791015625e-05,1.0967254638671875e-05,-1.1920928955078125e-05,-2.002716064453125e-05,0.004405975341796875,0.003634929656982422,0.0036668777465820312,0.0036001205444335938,11.3433242506812,0.06443298969072164,0.029639175257731853,0.0,0.0,12.645776566757494,10.442779291553133,10.534059945504087,10.3433242506812,0.008866071701049805,0.00036025047302246094,0.003636968866729493,2.5987625122070312e-05,1.1682510375976562e-05,-7.867813110351562e-06,0.00013780593872070312,0.004337787628173828,0.0036699771881103516,0.0036280155181884766,0.008497953414916992,24.61085373924553,0.07059585492227982,0.03173575129533668,0.0,0.4043679682329584,12.062872270019854,10.209133024487095,10.092653871608206,23.61085373924553,0.00895833969116211,0.00037217140197753906,0.00895833969116211,2.4080276489257812e-05,1.0013580322265625e-05,-1.0728836059570312e-05,0.00013709068298339844,0.004492998123168945,0.0037550926208496094,0.0037462711334228516,0.008575439453125,24.070467648942984,0.06288916562889169,0.026151930261519407,0.0,0.39718129404228053,12.101217168481742,10.118513773222293,10.094811018577834,23.070467648942984,16.0,0.0,0.0
16,17.0,3923.0,16.0,16.0,64.0,0.3893001079559326,0.0038001537322998047,0.00895833969116211,0.0,0.0,0.005526065826416016,0.00034999847412109375,0.0034116022847705783,-1.2874603271484375e-05,-3.5762786865234375e-05,-4.38690185546875e-05,0.004382133483886719,0.0036110877990722656,0.003643035888671875,0.0035762786865234375,0.005132198333740234,15.788828337874659,-0.03479381443298979,-0.06443298969072164,-0.06443298969072164,12.581343577066772,10.378346301862411,10.469626955813364,10.278891260990477,14.724395348183936,0.008866071701049805,0.00036025047302246094,0.003636968866729493,2.5987625122070312e-05,1.1682510375976562e-05,-7.867813110351562e-06,0.00013780593872070312,0.004337787628173828,0.0036699771881103516,0.0036280155181884766,0.008497953414916992,24.61085373924553,0.07059585492227982,0.03173575129533668,0.0,0.4043679682329584,12.062872270019854,10.209133024487095,10.092653871608206,23.61085373924553,0.00895833969116211,0.00037217140197753906,0.00895833969116211,2.4080276489257812e-05,1.0013580322265625e-05,-1.0728836059570312e-05,0.00013709068298339844,0.004492998123168945,0.0037550926208496094,0.0037462711334228516,0.008575439453125,24.070467648942984,0.06288916562889169,0.026151930261519407,0.0,0.39718129404228053,12.101217168481742,10.118513773222293,10.094811018577834,23.070467648942984,16.0,0.0,1.0
17,18.0,4142.0,17.0,1.0,64.0,0.39314889907836914,0.0036630630493164062,0.008732795715332031,0.0,0.0,0.0038487911224365234,0.00034999847412109375,0.003499040052303768,-2.288818359375e-05,-3.0994415283203125e-05,0.004395008087158203,0.00362396240234375,0.0036559104919433594,0.003589153289794922,0.005145072937011719,0.0034677982330322266,10.996594005449591,-0.029639175257731853,-0.029639175257731853,12.616137391499763,10.413140116295402,10.504420770246355,10.313685075423468,14.759189162616927,9.96695483019186,0.009270668029785156,0.00036025047302246094,0.0047637086993406255,-1.430511474609375e-05,-3.3855438232421875e-05,0.00011181831359863281,0.004311800003051758,0.0036439895629882812,0.0036020278930664062,0.008471965789794922,0.008876562118530273,25.733951025810722,-0.03886010362694314,-0.07059585492227982,0.3337721133106786,11.992276415097574,10.138537169564815,10.022058016685927,23.54025788432325,24.66335517088844,0.008732795715332031,0.00037217140197753906,0.008732795715332031,-1.4066696166992188e-05,-3.4809112548828125e-05,0.00011301040649414062,0.0044689178466796875,0.0037310123443603516,0.0037221908569335938,0.008551359176635742,0.008325815200805664,23.464445868033312,-0.03673723536737228,-0.06288916562889169,0.33429212841338884,12.03832800285285,10.055624607593401,10.031921852948942,23.00757848331409,22.40155670240442,18.0,0.0,0.0
18,19.0,7704.0,17.0,2.0,64.0,0.3986170291900635,0.0036630630493164062,0.008732795715332031,0.0,0.0,0.005468130111694336,0.00034999847412109375,0.0038928580641818815,-8.106231689453125e-06,0.004417896270751953,0.0036468505859375,0.0036787986755371094,0.003612041473388672,0.005167961120605469,0.0034906864166259766,0.005110025405883789,15.623297002724795,0.0,12.645776566757494,10.442779291553133,10.534059945504087,10.3433242506812,14.788828337874659,9.996594005449591,14.623297002724795,0.009270668029785156,0.00036025047302246094,0.0047637086993406255,-1.430511474609375e-05,-3.3855438232421875e-05,0.00011181831359863281,0.004311800003051758,0.0036439895629882812,0.0036020278930664062,0.008471965789794922,0.008876562118530273,25.733951025810722,-0.03886010362694314,-0.07059585492227982,0.3337721133106786,11.992276415097574,10.138537169564815,10.022058016685927,23.54025788432325,24.66335517088844,0.008732795715332031,0.00037217140197753906,0.008732795715332031,-1.4066696166992188e-05,-3.4809112548828125e-05,0.00011301040649414062,0.0044689178466796875,0.0037310123443603516,0.0037221908569335938,0.008551359176635742,0.008325815200805664,23.464445868033312,-0.03673723536737228,-0.06288916562889169,0.33429212841338884,12.03832800285285,10.055624607593401,10.031921852948942,23.00757848331409,22.40155670240442,18.0,0.0,1.0
19,20.0,6873.0,18.0,3.0,64.0,0.4024319648742676,0.003634929656982422,0.008727788925170898,0.0,0.0,0.0038149356842041016,0.00034999847412109375,0.0038772735881863257,0.004426002502441406,0.003654956817626953,0.0036869049072265625,0.003620147705078125,0.005176067352294922,0.0034987926483154297,0.005118131637573242,0.003464937210083008,10.899863760217984,12.645776566757494,10.442779291553133,10.534059945504087,10.3433242506812,14.788828337874659,9.996594005449591,14.623297002724795,9.899863760217984,0.009311914443969727,0.00036025047302246094,0.005673349848266446,-1.9550323486328125e-05,0.00012612342834472656,0.0043261051177978516,0.003658294677734375,0.0036163330078125,0.008486270904541016,0.008890867233276367,0.008932113647460938,25.84844473858372,-0.03173575129533668,0.3726322169376217,12.031136518724518,10.177397273191758,10.06091812031287,23.579117987950195,24.702215274515385,24.816708987288383,0.008727788925170898,0.00037217140197753906,0.008727788925170898,-2.0742416381835938e-05,0.0001270771026611328,0.00448298454284668,0.0037450790405273438,0.003736257553100586,0.008565425872802734,0.008339881896972656,0.008334875106811523,23.450992953235104,-0.026151930261519407,0.3710293637807611,12.075065238220223,10.092361842960774,10.068659088316315,23.044315718681464,22.438293937771792,22.424841022973585,19.0,0.0,1.0
